Date,Sentiment
2024-06-08,0.0
2024-06-10,0.0
2024-06-11,1.0
2024-06-14,0.0
2024-06-17,0.0
2024-06-19,0.0
2024-06-24,-1.0
2024-06-29,-1.0
2024-06-30,-0.3333333333333333
2024-07-04,-1.0
2024-07-05,-1.0
2024-07-07,0.0
2024-07-10,-1.0
2024-07-12,1.0
2024-07-15,-0.75
2024-07-16,-1.0
2024-07-19,-0.75
2024-07-20,-1.0
2024-07-25,1.0
2024-07-30,-1.0
2024-08-02,0.0
2024-08-03,-1.0
2024-08-06,-0.5
2024-08-08,0.0
2024-08-11,0.0
2024-08-14,0.0
2024-08-18,-1.0
2024-08-21,-1.0
2024-08-24,1.0
2024-08-29,-1.0
2024-08-31,1.0
2024-09-03,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.0
2024-09-12,1.0
2024-09-14,-1.0
2024-09-15,-1.0
2024-09-16,-1.0
2024-09-17,-1.0
2024-09-18,-1.0
2024-09-22,-1.0
2024-09-25,0.0
2024-09-27,-1.0
2024-09-30,0.0
2024-10-01,-0.5
2024-10-02,0.0
2024-10-03,0.0
2024-10-06,0.0
2024-10-08,-1.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-12,0.0
2024-10-14,0.0
2024-10-15,-1.0
2024-10-19,0.0
2024-10-20,-0.5
2024-10-22,-1.0
2024-10-24,1.0
2024-10-25,-1.0
2024-10-26,-1.0
2024-10-27,0.0
2024-10-28,1.0
2024-10-29,0.0
2024-10-31,-0.5
2024-11-01,-1.0
2024-11-02,-1.0
2024-11-03,0.0
2024-11-05,-1.0
2024-11-06,-1.0
2024-11-07,-0.5
2024-11-09,0.0
2024-11-10,0.3333333333333333
2024-11-12,0.5
2024-11-13,1.0
2024-11-15,0.0
2024-11-17,-1.0
2024-11-19,-0.6
2024-11-21,0.5
2024-11-22,0.0
2024-11-23,-0.3333333333333333
2024-11-25,1.0
2024-11-27,0.0
2024-11-29,1.0
2024-11-30,-0.5
2024-12-02,0.25
2024-12-04,-0.5
2024-12-05,0.3333333333333333
2024-12-07,-1.0
2024-12-08,0.0
2024-12-12,-0.5
2024-12-13,-1.0
2024-12-14,0.0
2024-12-16,0.0
2024-12-17,0.3333333333333333
2024-12-19,-0.3333333333333333
2024-12-20,-0.5
2024-12-23,1.0
2024-12-24,0.0
2024-12-25,1.0
2024-12-26,1.0
2024-12-27,-0.5
2024-12-28,-1.0
2024-12-30,-1.0
2024-12-31,-1.0
2025-01-01,-1.0
2025-01-03,-0.3333333333333333
2025-01-04,-1.0
2025-01-05,0.0
2025-01-06,0.0
2025-01-08,0.0
2025-01-09,0.25
2025-01-10,0.0
2025-01-11,-1.0
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,-1.0
2025-01-15,0.0
2025-01-16,-1.0
2025-01-17,-1.0
2025-01-19,0.0
2025-01-20,0.0
2025-01-21,-0.3333333333333333
2025-01-22,0.5
2025-01-24,0.0
2025-01-26,-0.6666666666666666
2025-01-27,-0.5
2025-01-28,0.0
2025-01-29,-0.6666666666666666
2025-01-30,1.0
2025-01-31,-1.0
2025-02-05,-1.0
2025-02-06,0.0
2025-02-07,-1.0
2025-02-09,0.5
2025-02-10,-1.0
2025-02-11,0.0
2025-02-13,-0.25
2025-02-16,-0.5
2025-02-17,0.0
2025-02-18,1.0
2025-02-19,0.0
2025-02-20,0.0
2025-02-21,-0.3333333333333333
2025-02-23,-0.25
2025-02-24,-1.0
2025-02-25,0.0
2025-02-26,-1.0
2025-02-27,0.0
2025-02-28,-1.0
2025-03-01,-0.5
2025-03-02,-1.0
2025-03-03,0.0
2025-03-04,-0.6666666666666666
2025-03-05,1.0
2025-03-06,-0.5
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,-0.3333333333333333
2025-03-10,-0.3333333333333333
2025-03-11,0.0
2025-03-12,0.5
2025-03-13,0.0
2025-03-14,0.6
2025-03-15,0.0
2025-03-17,-0.6666666666666666
2025-03-18,-0.45454545454545453
2025-03-19,-0.6666666666666666
2025-03-20,-0.5
2025-03-21,-1.0
2025-03-22,-0.5
2025-03-23,-0.5
2025-03-24,-1.0
2025-03-25,-0.5
2025-03-26,-1.0
2025-03-27,-1.0
2025-03-28,-0.5
2025-03-29,-0.3333333333333333
2025-03-30,-1.0
2025-03-31,-1.0
2025-04-01,-0.3333333333333333
2025-04-02,-0.3333333333333333
2025-04-03,-0.2857142857142857
2025-04-04,-0.6666666666666666
2025-04-05,0.0
2025-04-06,0.0
2025-04-07,-0.6666666666666666
2025-04-08,0.0
2025-04-09,-0.2
2025-04-10,-1.0
2025-04-11,0.0
